name,address,type
try_dispatch_threshold_gated_actions_208_210,0x00493D90,function
apply_terminal_outcome,0x0046C6E0,function
resolve_attack_candidate_against_fighter,0x0046DA10,function
CharacterObjectEffectEmitter_emit_repeated_effects_for_owner_state,0x005575C0,function
run_common_character_update,0x0045B420,function
Fighter_is_front_sequence_entry_ready_55a,0x0045D1B0,function
TitleResourceManager_load_texture,0x00404C90,function
CharacterObjectRuntime_set_oriented_components_f0_f4,0x00435160,function
reset_input_state_table,0x0040A510,function
CMenuSelect_update,0x00448200,function
AliceObjectFlightState_update_from_owner_and_target,0x004FC7C0,function
CharacterObjectEffectEmitter_turn_heading_toward_related,0x004E0BF0,function
integrate_and_clamp_fighter_position,0x0045AE30,function
CProfileMenu_update_state_six,0x0044CF70,function
try_dispatch_action_214_with_direction_angle,0x004942C0,function
CProfileMenu_ctor,0x0044D4F0,function
try_dispatch_mirrored_gate_actions_200_201,0x00493F90,function
CProfileMenu_render,0x0044BE10,function
apply_deferred_counter_558,0x0045D510,function
reset_hit_exchange_scratch,0x0046B350,function
TitleResourceManager_release_title_resource_handle,0x00404D70,function
GuideOverlay_load,0x0043F390,function
GuideOverlay_render,0x0043F4C0,function
ResultList_ctor,0x004471E0,function
CPackageFileReader_read,0x0041C110,function
CMenuSelect_ctor,0x004482E0,function
CMenuSelect_dtor,0x00448250,function
CMenuSelect_render,0x00447FE0,function
classify_fighter_x_boundary,0x00435910,function
test_proposed_x_against_stage_height,0x00435950,function
stage_surface_height_at_x,0x00435D60,function
CFileReader_read,0x0040CED0,function
CFileReader_size,0x0040CF00,function
calculate_descriptor_scaled_quantity_1c,0x0045C0B0,function
calculate_descriptor_scaled_quantity_20,0x0045C0E0,function
reset_info_manager_indexed_entry,0x0046A8A0,function
initialize_collision_list,0x0046B1D0,function
map_battle_setup_state_to_scene,0x00426280,function
CTitle_on_scene_exit,0x00425720,function
CSelectScenario_on_scene_exit,0x0041FB70,function
update_common_fighter_state_window,0x0045B0F0,function
emit_effect_at_collision_center,0x0046B650,function
emit_fighter_effect_433cc0,0x00435240,function
run_shared_battle_phase_sequence,0x0046BE30,function
run_battle_phase_and_info_callback,0x0046BF00,function
Yukari_try_dispatch_mirrored_gate_actions_200_201,0x0058C170,function
create_secondary_buffer8,0x00418920,function
linear_gain_to_ds_volume,0x00418990,function
CSelectScenario_apply_scenario,0x004245D0,function
CTitle_dtor,0x00425D40,function
CTitle_on_scene_enter,0x004256D0,function
CLoadingWatch_on_scene_enter,0x00426860,function
front_checked,0x004321B0,function
dispatch_indexed_event,0x0043B1A0,function
GuideOverlay_ctor,0x0043F540,function
CMenuResult_update,0x00447560,function
shutdown_direct_sound,0x004188C0,function
create_collision_list_sentinel,0x00435E50,function
get_player_slot_record,0x0043AFE0,function
invalidate_selected_input,0x0043AFF0,function
get_selected_input,0x0043B010,function
get_combined_menu_input,0x0043B020,function
get_combined_menu_input_counters,0x0043B030,function
get_selected_input_source,0x0043B040,function
get_player2_input,0x0043B060,function
get_session_setup_option,0x0043B070,function
set_session_setup_option,0x0043B080,function
get_network_session,0x0043B090,function
run_post_update_callbacks_and_global_state,0x0046AFB0,function
run_global_fighter_action_owned_object_phase,0x0046AF90,function
run_global_fighter_position_status_timer_phase,0x0046AFA0,function
CFileReader_dtor,0x0040CEB0,function
mt19937_next_u32,0x004066B0,function
CriticalSectionWrapper_enter,0x0040AC30,function
CriticalSectionWrapper_leave,0x0040AC40,function
copy_session_field_6c8_if_unset,0x00426160,function
CMenuResult_render,0x00446F70,function
CMenuResult_dtor,0x00447590,function
CSelectScenario_dtor,0x00425230,function
CMenuSelect_update_player_assignment,0x00448060,function
reset_fighter_fields_6bc_728,0x0046AFF0,function
reset_fighter_fields_6b4_728,0x0046B080,function
consume_counter_484_steps,0x0045B260,function
advance_menu_item_wave,0x004258F0,function
CFileReader_seek,0x00407C50,function
CFileReader_scalar_deleting_destructor,0x0041B890,function
CMenuResult_scalar_deleting_destructor,0x00447890,function
CProfileMenu_scalar_deleting_destructor,0x0044D6E0,function
CEffectSprite_scalar_deleting_destructor,0x0041F6F0,function
get_game_mode,0x0043AC40,function
get_match_setup,0x0043AC50,function
get_game_config,0x0043AF10,function
get_score_data,0x0043AF20,function
run_active_character_and_owned_object_callbacks,0x00464630,function
commit_fighter_physics_status_timers,0x00464780,function
Alice_construct,0x004FAC40,function
ReimuObjectManager_ctor,0x00493750,function
MarisaObjectManager_ctor,0x004B9D10,function
SakuyaObjectManager_ctor,0x004DF230,function
AliceObjectManager_ctor,0x004FAA40,function
PatchouliObjectManager_ctor,0x0051ECE0,function
YoumuObjectManager_ctor,0x0053B0A0,function
RemiliaObjectManager_ctor,0x00555DF0,function
YuyukoObjectManager_ctor,0x0056DC20,function
YukariObjectManager_ctor,0x0058BD80,function
SuikaObjectManager_ctor,0x005AEA80,function
UdongeObjectManager_ctor,0x005D29D0,function
KomachiObjectManager_ctor,0x005F7830,function
AyaObjectManager_ctor,0x00618200,function
IkuObjectManager_ctor,0x006310B0,function
