address,size,span_end,current_name,proposed_name,module,status,match_percent,calling_convention,signature,is_thunk,source_file,evidence,owner,notes
0x00406680,30,0x0040669D,FUN_00406680,,,unclassified,0.00,unknown,undefined FUN_00406680(void),false,,,,
0x004066A0,107,0x0040670A,FUN_004066a0,,,unclassified,0.00,unknown,undefined FUN_004066a0(void),false,,,,
0x00406710,63,0x0040674E,FUN_00406710,,,unclassified,0.00,unknown,undefined FUN_00406710(void),false,,,,
0x00406750,27,0x0040676A,FUN_00406750,,,unclassified,0.00,unknown,undefined FUN_00406750(void),false,,,,
0x00406770,8,0x00406777,FUN_00406770,,,unclassified,0.00,unknown,undefined FUN_00406770(void),false,,,,
0x00406780,177,0x00406830,FUN_00406780,,,unclassified,0.00,unknown,undefined FUN_00406780(void),false,,,,
0x00406840,61,0x0040687C,FUN_00406840,,,unclassified,0.00,unknown,undefined FUN_00406840(void),false,,,,
0x00406880,271,0x00406996,FUN_00406880,,,unclassified,0.00,unknown,undefined FUN_00406880(void),false,,,,
0x004069A0,27,0x004069BA,FUN_004069a0,,,unclassified,0.00,unknown,undefined FUN_004069a0(void),false,,,,
0x004069C0,153,0x00406A58,FUN_004069c0,,,unclassified,0.00,unknown,undefined FUN_004069c0(void),false,,,,
0x00406A60,151,0x00406AF6,FUN_00406a60,,,unclassified,0.00,unknown,undefined FUN_00406a60(void),false,,,,
0x00406B00,293,0x00406C24,FUN_00406b00,,,unclassified,0.00,unknown,undefined FUN_00406b00(void),false,,,,
0x00406C30,39,0x00406C56,FUN_00406c30,,,unclassified,0.00,unknown,undefined FUN_00406c30(void),false,,,,
0x00406C60,334,0x00406DAD,FUN_00406c60,,,unclassified,0.00,unknown,undefined FUN_00406c60(void),false,,,,
0x00406DB0,610,0x00407011,FUN_00406db0,,,unclassified,0.00,unknown,undefined FUN_00406db0(void),false,,,,
0x00407020,153,0x004070B8,FUN_00407020,,,unclassified,0.00,unknown,undefined FUN_00407020(void),false,,,,
0x004070C0,37,0x004070E4,FUN_004070c0,,,unclassified,0.00,unknown,undefined FUN_004070c0(void),false,,,,
0x004070F0,349,0x0040724C,FUN_004070f0,,,unclassified,0.00,unknown,undefined FUN_004070f0(void),false,,,,
0x00407250,95,0x004072AE,FUN_00407250,,,unclassified,0.00,unknown,undefined FUN_00407250(void),false,,,,
0x004072B0,24,0x004072C7,FUN_004072b0,,,unclassified,0.00,unknown,undefined FUN_004072b0(void),false,,,,
0x004072D0,24,0x004072E7,FUN_004072d0,,,unclassified,0.00,unknown,undefined FUN_004072d0(void),false,,,,
0x004072F0,189,0x004073AC,FUN_004072f0,,,unclassified,0.00,unknown,undefined FUN_004072f0(void),false,,,,
0x004073B0,61,0x004073EC,FUN_004073b0,,,unclassified,0.00,unknown,undefined FUN_004073b0(void),false,,,,
0x004073F0,91,0x0040744A,FUN_004073f0,,,unclassified,0.00,unknown,undefined FUN_004073f0(void),false,,,,
0x00407450,61,0x0040748C,FUN_00407450,,,unclassified,0.00,unknown,undefined FUN_00407450(void),false,,,,
0x00407490,91,0x004074EA,FUN_00407490,,,unclassified,0.00,unknown,undefined FUN_00407490(void),false,,,,
0x004074F0,61,0x0040752C,FUN_004074f0,,,unclassified,0.00,unknown,undefined FUN_004074f0(void),false,,,,
0x00407530,91,0x0040758A,FUN_00407530,,,unclassified,0.00,unknown,undefined FUN_00407530(void),false,,,,
0x00407590,1095,0x004079D6,FUN_00407590,,,unclassified,0.00,unknown,undefined FUN_00407590(void),false,,,,
0x004079E0,219,0x00407ABA,FUN_004079e0,,,unclassified,0.00,unknown,undefined FUN_004079e0(void),false,,,,
0x00407AC0,54,0x00407AF5,FUN_00407ac0,,,unclassified,0.00,unknown,undefined FUN_00407ac0(void),false,,,,
0x00407B00,21,0x00407B14,FUN_00407b00,,,unclassified,0.00,unknown,undefined FUN_00407b00(void),false,,,,
0x00407B20,35,0x00407B42,FUN_00407b20,,,unclassified,0.00,unknown,undefined FUN_00407b20(void),false,,,,
0x00407B50,25,0x00407B68,FUN_00407b50,,,unclassified,0.00,unknown,undefined FUN_00407b50(void),false,,,,
0x00407B70,42,0x00407B9C,FUN_00407b70,,,unclassified,0.00,unknown,undefined FUN_00407b70(void),false,,,,
0x00407BA0,255,0x00407C9E,FUN_00407ba0,,,unclassified,0.00,unknown,undefined FUN_00407ba0(void),false,,,,
0x00407CA0,471,0x00407E76,FUN_00407ca0,,,unclassified,0.00,unknown,undefined FUN_00407ca0(void),false,,,,
